,testID,Processor,L1i,L1d,L2,Kernel,Bugs,aobench,aobenchv,cyclictest,cyclictestv,primesieve,primesievev,pybench,pybenchv,ramspeed,ramspeedv
0,10015,AMD C-50 Processor,32,32,512,4.9.51-1,fxsave_leak sysret_ss_attrs null_seg,362.62,365.0452940464:361.38993310928:361.43190217018,16.0,,1350.03,1340.636:1340.292:1369.166,12632.0,12690:12533:12673,2566.35,
1,10244,Intel(R) Core(TM) i5-2520M CPU @ 2.50GHz,32,32,256,4.9.82-1,cpu_meltdown spectre_v1 spectre_v2,66.35,66.338290929794:66.364619970322:66.337608098984,2.0,,244.51,215.722:253.389:244.459:248.624:251.462:253.377,2284.0,2288:2271:2293,6735.45,
2,12948,Intel(R) Core(TM) i7-3632QM CPU @ 2.20GHz,32,32,256,4.9.82-1,cpu_meltdown spectre_v1 spectre_v2,63.13,63.73819899559:62.881282091141:62.767226934433,2.0,,103.24,103.173:103.243:103.295,2169.0,2166:2171:2171,14885.03,
3,14077,Intel(R) Core(TM) i5 CPU       M 450  @ 2.40GHz,32,32,256,4.9.51-1,,90.14,94.562704086304:88.969377994537:88.968721866608:87.18605017662:91.000507116318,6.0,7:6:6:6:6:7,268.6,266.412:270.393:268.991,3017.0,3020:3014:3017,7316.17,
4,14857,Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz,32,32,256,4.9.82-1,cpu_meltdown spectre_v1 spectre_v2,96.61,96.494286060333:96.843542098999:96.505916118622,4.0,,290.55,283.712:293.015:294.913,3334.0,3315:3334:3354,6764.38,
5,18323,AMD Athlon(tm) X4 750K Quad Core Processor,16,64,2048,4.9.82-1,fxsave_leak sysret_ss_attrs null_seg spectre_v1 spectre_v2,83.88,83.861778974533:83.892513036728:83.891149044037,9.0,,741.71,768.914:708.17:739.35:750.399,2439.0,2419:2445:2453,5279.28,
6,19340,Intel(R) Core(TM) i5-2520M CPU @ 2.50GHz,32,32,256,4.9.51-1,,66.51,66.705399036407:66.510157108307:66.309184074402,2.0,,239.39,221.323:245.011:239.78:244.182:246.361:239.707,2289.0,2294:2293:2279,6748.25,
7,20361,Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz,32,32,256,4.9.51-1,,56.77,56.662035942078:56.739199876785:56.898442983627,1.0,,77.26,77.364:77.297:77.118,1639.0,,11108.87,
8,21364,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,32,32,256,4.9.51-1,,55.18,55.214612007141:55.136606931686:55.188473939896,1.0,,92.92,85.938:92.803:95.258:93.889:94.402:95.254,1592.0,,18691.53,
9,21418,Intel(R) Core(TM) i7-3632QM CPU @ 2.20GHz,32,32,256,4.9.51-1,,63.43,64.790441989899:62.805484056473:62.70054602623,2.0,,103.38,103.319:103.383:103.452,2168.0,2159:2174:2171,14976.79,
10,22108,Intel(R) Core(TM) i5 CPU       M 450  @ 2.40GHz,32,32,256,4.9.82-1,cpu_meltdown spectre_v1 spectre_v2,88.72,91.344634056091:87.674367904663:87.150973081589,7.0,,268.71,268.114:268.751:269.252,3018.0,2985:3006:3063,7382.3,
11,2483,Intel(R) Pentium(R) Dual  CPU  T3400  @ 2.16GHz,32,32,1024,4.9.51-1,,141.55,141.60066795349:141.25101685524:141.79426217079,18.0,20:19:16:19:17:18,489.15,444.547:468.436:503.293:505.038:497.086:516.517,3995.0,3975:3998:4012,2722.46,
12,25621,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,32,32,256,4.9.51-1,,66.09,65.143414020538:67.265784025192:65.848977088928,2.0,,234.29,234.721:234.787:233.357,2205.0,2203:2209:2202,13080.53,
13,25666,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,32,32,256,4.9.82-1,cpu_meltdown spectre_v1 spectre_v2,55.53,55.167737007141:56.234829902649:55.17942905426,1.0,,92.53,88.961:94.533:94.089,1586.0,1582:1582:1593,18550.64,
14,25719,AMD Athlon(tm) X4 750K Quad Core Processor,16,64,2048,4.9.51-1,fxsave_leak sysret_ss_attrs null_seg,85.4,88.015506982803:84.337818861008:83.856721878052,9.0,,749.98,730.076:777.96:730.513:761.383,2431.0,2429:2424:2440,5228.95,
15,26448,AMD Turion(tm) II P520 Dual-Core Processor,64,64,1024,4.9.82-1,tlb_mmatch fxsave_leak sysret_ss_attrs null_seg amd_e400 spectre_v1 spectre_v2,145.79,166.6282889843:141.06842303276:142.10614299774:141.10275101662:141.32914113998:142.49447703362,144.0,143:143:145,361.7,356.292:361.86:366.936,4264.0,4256:4248:4288,7096.44,
16,27330,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,32,32,256,4.9.82-1,cpu_meltdown spectre_v1 spectre_v2,66.55,64.402667999268:74.581191062927:64.671321153641:66.923164844513:64.295255899429:64.412738800049,3.0,,233.73,233.377:233.659:234.16,2202.0,2201:2198:2206,13056.25,
17,27628,Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz,32,32,256,4.9.82-1,cpu_meltdown spectre_v1 spectre_v2,57.72,59.572037935257:56.85546207428:56.729968070984,1.0,,76.9,77.098:76.419:77.176,1645.0,1646:1634:1655,11134.03,
18,29766,Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz,32,32,256,4.9.51-1,,99.1,108.13721013069:97.194697141647:96.840448141098:97.594472169876:97.739132881165:97.09693813324,3.0,,283.25,280.528:283.769:285.463,3340.0,3344:3304:3371,6774.38,
19,31336,AMD C-50 Processor,32,32,512,4.9.82-1,fxsave_leak sysret_ss_attrs null_seg spectre_v1 spectre_v2,361.92,361.75809192657:362.38306117058:361.60456204414,16.0,,1412.06,1414.716:1410.575:1410.876,12617.0,12691:12630:12529,2562.37,
20,496,Intel(R) Pentium(R) Dual  CPU  T3400  @ 2.16GHz,32,32,1024,4.9.82-1,cpu_meltdown spectre_v1 spectre_v2,144.35,141.77569794655:141.49838709831:157.48335409164:141.71681284904:141.9277100563:141.69586014748,22.0,21:18:27:21:22:22,468.26,475.04:454.771:474.966,4010.0,4020:4007:4004,2705.25,
21,5649,AMD Turion(tm) II P520 Dual-Core Processor,64,64,1024,4.9.51-1,tlb_mmatch fxsave_leak sysret_ss_attrs null_seg amd_e400,141.32,140.97066307068:140.96546506882:142.01574206352,139.0,127:141:135:137:145:151,368.28,367.365:368.849:368.634,4270.0,4264:4268:4277,7103.61,
